{'Time': '2026-04-13T18:14:01.458385+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18026864', 'Gig0-0_In_uPackets': '160154', 'Gig0-0_Out_Octet': '11995909', 'Gig0-0_Out_uPackets': '107697'}
{'Time': '2026-04-13T18:15:02.037958+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18027747', 'Gig0-0_In_uPackets': '160162', 'Gig0-0_Out_Octet': '11996666', 'Gig0-0_Out_uPackets': '107707'}
{'Time': '2026-04-13T18:16:01.916491+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18028633', 'Gig0-0_In_uPackets': '160170', 'Gig0-0_Out_Octet': '11997905', 'Gig0-0_Out_uPackets': '107719'}
{'Time': '2026-04-13T18:17:01.886330+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18029828', 'Gig0-0_In_uPackets': '160178', 'Gig0-0_Out_Octet': '11999007', 'Gig0-0_Out_uPackets': '107729'}
{'Time': '2026-04-13T18:18:02.245631+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18030714', 'Gig0-0_In_uPackets': '160186', 'Gig0-0_Out_Octet': '12000169', 'Gig0-0_Out_uPackets': '107740'}
{'Time': '2026-04-13T18:19:01.873905+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18031598', 'Gig0-0_In_uPackets': '160195', 'Gig0-0_Out_Octet': '12001388', 'Gig0-0_Out_uPackets': '107752'}
{'Time': '2026-04-13T18:20:01.581377+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18032539', 'Gig0-0_In_uPackets': '160203', 'Gig0-0_Out_Octet': '12002545', 'Gig0-0_Out_uPackets': '107763'}
{'Time': '2026-04-13T18:21:01.954458+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18033422', 'Gig0-0_In_uPackets': '160211', 'Gig0-0_Out_Octet': '12003765', 'Gig0-0_Out_uPackets': '107775'}
{'Time': '2026-04-13T18:22:02.211103+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18034306', 'Gig0-0_In_uPackets': '160219', 'Gig0-0_Out_Octet': '12004984', 'Gig0-0_Out_uPackets': '107787'}
{'Time': '2026-04-13T18:23:01.396536+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18035187', 'Gig0-0_In_uPackets': '160227', 'Gig0-0_Out_Octet': '12006201', 'Gig0-0_Out_uPackets': '107799'}
{'Time': '2026-04-13T18:24:01.880731+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18036022', 'Gig0-0_In_uPackets': '160234', 'Gig0-0_Out_Octet': '12007421', 'Gig0-0_Out_uPackets': '107811'}
{'Time': '2026-04-13T18:25:01.452819+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18036908', 'Gig0-0_In_uPackets': '160242', 'Gig0-0_Out_Octet': '12008523', 'Gig0-0_Out_uPackets': '107821'}
{'Time': '2026-04-13T18:26:01.897419+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18037794', 'Gig0-0_In_uPackets': '160250', 'Gig0-0_Out_Octet': '12009685', 'Gig0-0_Out_uPackets': '107832'}
